fold,T,X,precision,recall,f1,accuracy,balanced_accuracy,y_train_-1,y_train_0,y_train_1,y_true_-1,y_true_0,y_true_1,y_pred_-1,y_pred_0,y_pred_1
33,10,0.08,0.7163978494623656,0.6880952380952382,0.6984126984126983,0.7142857142857143,0.6880952380952382,536,1105,552,32,21,10,31,24,8
34,10,0.08,0.7784524562513178,0.7523767082590611,0.7500479368001227,0.746031746031746,0.7523767082590611,546,1116,552,24,22,17,17,31,15
35,10,0.08,0.8644781144781145,0.6448539886039886,0.6158451684767474,0.7619047619047619,0.6448539886039886,560,1121,554,13,32,18,1,44,18
36,10,0.08,0.7897435897435897,0.8311688311688311,0.8047602215152586,0.8412698412698413,0.8311688311688311,568,1126,562,11,42,10,10,40,13
37,10,0.08,0.6996632996632997,0.8725925925925925,0.7486145806414563,0.8412698412698413,0.8725925925925925,570,1138,569,9,50,4,10,44,9
38,10,0.08,0.735950235950236,0.848003848003848,0.7648841084684138,0.8095238095238095,0.848003848003848,573,1153,572,11,45,7,12,37,14
39,10,0.08,0.7852272727272728,0.8576923076923076,0.8059163059163059,0.8095238095238095,0.8576923076923076,579,1168,572,10,40,13,11,32,20
40,10,0.08,0.7996632996632997,0.776301918616909,0.7844135802469135,0.7936507936507936,0.776301918616909,579,1188,573,17,31,15,18,33,12
41,10,0.08,0.6431046431046431,0.6014784946236559,0.6162947937795807,0.6349206349206349,0.6014784946236559,584,1198,579,16,31,16,13,37,13
42,10,0.08,0.4484126984126984,0.39432503770739064,0.39471544715447154,0.5079365079365079,0.39432503770739064,589,1208,585,16,34,13,8,48,7
43,10,0.08,0.5050505050505051,0.4159041394335512,0.4010989010989012,0.5714285714285714,0.4159041394335512,596,1219,588,17,36,10,3,55,5
44,10,0.08,0.5,0.5200320512820512,0.5023960130343109,0.7301587301587301,0.5200320512820512,600,1229,595,26,32,5,21,42,0
45,10,0.08,0.5207336523125997,0.5146396396396397,0.5123935304813858,0.7777777777777778,0.5146396396396397,605,1242,598,24,37,2,19,44,0
46,10,0.08,0.6494949494949495,0.6847674742411584,0.66125961133156,0.746031746031746,0.6847674742411584,613,1255,598,18,38,7,20,33,10
47,10,0.08,0.7076023391812866,0.7259259259259259,0.6777586536622682,0.7301587301587301,0.7259259259259259,626,1261,600,9,45,9,6,38,19
48,10,0.08,0.6944444444444445,0.48333333333333334,0.529945999018164,0.6984126984126984,0.48333333333333334,629,1279,600,6,45,12,2,52,9
49,10,0.08,0.7679738562091503,0.6534632034632034,0.691759702286018,0.7936507936507936,0.6534632034632034,631,1293,605,5,44,14,4,51,8
50,10,0.08,0.4988179669030733,0.48496732026143796,0.49094202898550726,0.7777777777777778,0.48496732026143796,635,1306,609,1,45,17,1,47,15
51,10,0.08,0.5676923076923077,0.5750000000000001,0.5647509578544061,0.8095238095238095,0.5750000000000001,635,1324,612,7,40,16,0,50,13
52,10,0.08,0.7666361416361417,0.733068783068783,0.7484634323467416,0.7777777777777778,0.733068783068783,636,1337,619,14,40,9,13,42,8
53,10,0.08,0.734845243189274,0.8391812865497076,0.7758613400972312,0.7936507936507936,0.8391812865497076,636,1351,626,19,42,2,19,41,3
54,10,0.08,0.5614035087719298,0.6266666666666666,0.5828900709219859,0.9047619047619048,0.6266666666666666,642,1364,628,13,50,0,19,44,0
55,10,0.08,0.5416666666666666,0.6494252873563219,0.5808940322214659,0.9523809523809523,0.6494252873563219,650,1377,628,5,58,0,8,55,0
56,10,0.08,0.5885057471264368,0.5497076023391813,0.5670619235836627,0.9523809523809523,0.5497076023391813,655,1393,628,6,57,0,5,58,0
57,10,0.08,0.5770114942528736,0.5494949494949495,0.5610083132207025,0.9206349206349206,0.5494949494949495,655,1414,628,6,55,2,5,58,0
58,10,0.08,0.2903225806451613,0.32727272727272727,0.3076923076923077,0.8571428571428571,0.32727272727272727,655,1435,628,6,55,2,0,62,1
59,10,0.08,0.3118279569892473,0.3276836158192091,0.31955922865013775,0.9206349206349206,0.3276836158192091,661,1450,628,2,59,2,0,62,1
60,10,0.08,0.6126651126651127,0.647392290249433,0.6216077828981055,0.7301587301587301,0.647392290249433,661,1469,630,6,49,8,6,44,13
61,10,0.08,0.7511337868480726,0.6925925925925925,0.7130023640661939,0.8095238095238095,0.6925925925925925,661,1490,630,6,45,12,6,49,8
62,10,0.08,0.8094691535150647,0.8427518427518428,0.8176638176638177,0.8095238095238095,0.8427518427518428,663,1509,630,4,37,22,5,41,17
